Country,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,latitude,longitude,name,desc,color,source,precision
South Korea,477680,396400,319750,407640,418540,406990,396900,418170,444440,36.0972404,127.5127029,South Korea,South Korea,,Bing Maps,country
Japan,397750,344610,331750,313120,365820,351820,287750,271760,249770,36.2816467,139.0772705,Japan,Japan,,Bing Maps,country
United States,190120,178640,170980,200960,211610,211810,208530,209320,208580,39.4432564,-98.9573364,United States,United States,,Bing Maps,country
Russia,300390,312340,174300,237030,253630,242620,218630,204580,158230,63.1251869,103.7539825,Russia,Russia,,Bing Maps,country
Vietnam,-1,-1,-1,92000,100650,113720,136540,170940,216080,16.9404297,106.8164291,Vietnam,Vietnam,,Bing Maps,country
Malaysia,106200,104050,105900,124520,124510,123550,120650,112960,107550,2.5490005,102.962616,Malaysia,Malaysia,,Bing Maps,country
Mongolia,68200,70530,57670,79440,99420,101050,105000,108270,101410,46.8364792,103.0668945,Mongolia,Mongolia,,Bing Maps,country
Singapore,92200,87580,88950,100370,106300,102770,96660,97140,90530,1.3219959,103.8205338,Singapore,Singapore,,Bing Maps,country
Philippines,83300,79530,74890,82830,89430,96200,99670,96790,100400,11.1126661,122.5094757,Philippines,Philippines,,Bing Maps,country
India,46250,43660,44890,54930,60650,61020,67670,70990,73050,23.4060116,79.4580917,India,India,,Bing Maps,country
Australia,60740,57150,56150,66130,72620,77430,72310,67210,63730,-25.5852413,134.5041199,Australia,Australia,,Bing Maps,country
Canada,57720,53470,55030,68530,74800,70830,68420,66710,67980,62.8329086,-95.9133224,Canada,Canada,,Bing Maps,country
Germany,55670,52890,51850,60860,63700,65960,64930,66260,62340,51.2024651,10.3822031,Germany,Germany,,Bing Maps,country
Thailand,61160,55430,54180,63550,60800,64760,65170,61310,64150,14.4845819,100.8519135,Thailand,Thailand,,Bing Maps,country
United Kingdom/Britain,60510,55150,52880,57500,59570,61840,62500,60470,57960,54.5608864,-2.2125118,United Kingdom/Britain,United Kingdom,,Bing Maps,country
Indonesia,47710,42.63,46900,57340,60870,62200,60530,56690,54480,-1.2480891,115.4189987,Indonesia,Indonesia,,Bing Maps,country
France,46340,43000,42480,51270,49310,52480,53350,51700,48690,46.6372795,2.3382623,France,France,,Bing Maps,country
Kazakhstan,-1,-1,-1,-1,-1,-1,39350,34360,-1,48.1460037,67.1791687,Kazakhstan,Kazakhstan,,Bing Maps,country
